,property_type,count,percent of total
0,Entire home,5490,25.82
1,Entire rental unit,5133,24.14
2,Entire condo,2208,10.39
3,Private room in home,1630,7.67
4,Entire guest suite,1393,6.55
5,Entire townhouse,1352,6.36
6,Entire guesthouse,892,4.2
7,Private room in rental unit,734,3.45
8,Entire serviced apartment,293,1.38
9,Room in hotel,283,1.33
10,Entire loft,258,1.21
11,Room in boutique hotel,217,1.02
12,Entire bungalow,208,0.98
13,Private room in townhouse,186,0.87
14,Private room in condo,125,0.59
15,Tiny home,104,0.49
16,Entire cottage,82,0.39
17,Private room in guest suite,78,0.37
18,Private room in bed and breakfast,72,0.34
19,Private room in resort,63,0.3
20,Room in aparthotel,53,0.25
21,Private room in bungalow,53,0.25
22,Private room in hostel,34,0.16
23,Camper/RV,32,0.15
24,Shared room in hostel,25,0.12
25,Shared room in home,24,0.11
26,Entire vacation home,23,0.11
27,Entire cabin,21,0.1
28,Entire place,19,0.09
29,Private room,15,0.07
30,Shared room in condo,12,0.06
31,Private room in serviced apartment,12,0.06
32,Shared room in rental unit,11,0.05
33,Private room in guesthouse,10,0.05
34,Houseboat,10,0.05
35,Farm stay,9,0.04
36,Private room in loft,8,0.04
37,Boat,8,0.04
38,Room in hostel,8,0.04
39,Entire villa,7,0.03
40,Private room in casa particular,6,0.03
41,Private room in cottage,5,0.02
42,Private room in farm stay,4,0.02
43,Shared room in townhouse,4,0.02
44,Private room in nature lodge,4,0.02
45,Shared room in boutique hotel,3,0.01
46,Entire home/apt,3,0.01
47,Private room in villa,3,0.01
48,Casa particular,3,0.01
49,Private room in vacation home,3,0.01
50,Treehouse,2,0.01
51,Barn,2,0.01
52,Private room in treehouse,2,0.01
53,Bus,2,0.01
54,Private room in camper/rv,2,0.01
55,Private room in religious building,2,0.01
56,Yurt,2,0.01
57,Private room in minsu,1,0.0
58,Shared room,1,0.0
59,Shared room in bed and breakfast,1,0.0
60,Private room in hut,1,0.0
61,Private room in houseboat,1,0.0
62,Shared room in farm stay,1,0.0
63,Private room in tiny home,1,0.0
64,Private room in bus,1,0.0
65,Entire chalet,1,0.0
66,Earthen home,1,0.0
67,Shared room in vacation home,1,0.0
68,Shipping container,1,0.0
69,Dome,1,0.0
70,Tower,1,0.0
