property_type,count
Entire home,5490
Entire rental unit,5133
Entire condo,2208
Private room in home,1630
Entire guest suite,1393
Entire townhouse,1352
Entire guesthouse,892
Private room in rental unit,734
Entire serviced apartment,293
Room in hotel,283
Entire loft,258
Room in boutique hotel,217
Entire bungalow,208
Private room in townhouse,186
Private room in condo,125
Tiny home,104
Entire cottage,82
Private room in guest suite,78
Private room in bed and breakfast,72
Private room in resort,63
Room in aparthotel,53
Private room in bungalow,53
Private room in hostel,34
Camper/RV,32
Shared room in hostel,25
Shared room in home,24
Entire vacation home,23
Entire cabin,21
Entire place,19
Private room,15
Shared room in condo,12
Private room in serviced apartment,12
Shared room in rental unit,11
Private room in guesthouse,10
Houseboat,10
Farm stay,9
Private room in loft,8
Boat,8
Room in hostel,8
Entire villa,7
Private room in casa particular,6
Private room in cottage,5
Private room in farm stay,4
Shared room in townhouse,4
Private room in nature lodge,4
Shared room in boutique hotel,3
Entire home/apt,3
Private room in villa,3
Casa particular,3
Private room in vacation home,3
Treehouse,2
Barn,2
Private room in treehouse,2
Bus,2
Private room in camper/rv,2
Private room in religious building,2
Yurt,2
Private room in minsu,1
Shared room,1
Shared room in bed and breakfast,1
Private room in hut,1
Private room in houseboat,1
Shared room in farm stay,1
Private room in tiny home,1
Private room in bus,1
Entire chalet,1
Earthen home,1
Shared room in vacation home,1
Shipping container,1
Dome,1
Tower,1
